contact_name,device_name,rssi,location,duration,date,contact
SM-G780F,SM-G991B,0,"- , -",10:5:23 hours,2022-05-09 02:00:00,[B@4059bc0
Nokia 7.2RKQ1.210607.001,SM-G780F,0,"- , -",1:05 min,2022-05-12 10:42:00,[B@4073a65
Lenovo TB-X505F,SM-G780F,0,"55.72, 13.21",56 sec,2022-05-09 01:08:00,[B@4089ceb
G834147.2.A.11.228,SM-G780F,0,"55.72, 13.22",32 sec,2022-05-12 03:59:00,[B@411aa4f
SM-A515F,G8341,0,"55.72, 13.22",19 sec,2022-05-12 10:29:00,[B@412bbf0
LIO-AL00HUAWEILIO-AL00,SM-G780F,-91,"- , -",17 sec,2022-05-10 12:09:00,[B@4164ea2
SM-M315F,SM-G780F,0,"- , -",3:36 min,2022-05-09 08:47:00,[B@4170d8b
SM-G780FSP1A.210812.016,G8341,-82,"55.71, 13.23",22 sec,2022-05-11 01:56:00,[B@41b1329
Lenovo TB-X505F,SM-G991B,0,"55.72, 13.21",16 sec,2022-05-12 07:51:00,[B@41f114
Lenovo TB-X505F,SM-G780F,-58,"55.72, 13.22",22 sec,2022-05-12 10:49:00,[B@4225153
SM-G991BSP1A.210812.016,SM-G780F,0,"55.72, 13.22",11:45 min,2022-05-12 10:22:00,[B@427a8f9
Lenovo TB-X505F,SM-G991B,0,"55.72, 13.21",27 sec,2022-05-12 07:45:00,[B@427feca
Nokia 7.2,SM-G780F,0,"55.72, 13.22",23 sec,2022-04-27 06:24:00,[B@42a4194
SM-G780F,SM-G991B,0,"- , -",23 sec,2022-05-09 09:40:00,[B@42ccf1
G8341,SM-G780F,-65,"55.72, 13.21",42 sec,2022-05-09 11:22:00,[B@430f276
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",37 sec,2022-05-10 11:27:00,[B@43158e8
Galaxy S20 FE de Marie,SM-G991B,0,"55.72, 13.22",23 sec,2022-05-09 09:43:00,[B@433e0c
Nokia 7.2,SM-G780F,-50,"55.72, 13.21",26 sec,2022-05-09 09:37:00,[B@43a696e
